hole_cards,win_probability
6H 7H,0.451265
6H 7D,0.42111
6H 7C,0.42292
6H 7S,0.425505
6H 8H,0.464765
6H 8D,0.43215
6H 8C,0.43223
6H 8S,0.42917
6H 9H,0.47538
6H 9D,0.44627
6H 9C,0.44872
6H 9S,0.446445
6H TH,0.48663
6H TD,0.46234
6H TC,0.46341
6H TS,0.46047
6H JH,0.505625
6H JD,0.476225
6H JC,0.474125
6H JS,0.47787
6H QH,0.530595
6H QD,0.50849
6H QC,0.51081
6H QS,0.51067
6H KH,0.563965
6H KD,0.54204
6H KC,0.54192
6H KS,0.543545
6H AH,0.600485
6H AD,0.576825
6H AC,0.57811
6H AS,0.577745
6D 2H,0.33957
6D 2D,0.37506
6D 2C,0.34021
6D 2S,0.340285
6D 3H,0.360865
6D 3D,0.395935
6D 3C,0.3619
6D 3S,0.360535
6D 4H,0.380405
6D 4D,0.41341
6D 4C,0.38014
6D 4S,0.380915
6D 5H,0.397795
6D 5D,0.43057
6D 5C,0.40041
6D 5S,0.40119
6D 6H,0.633855
6D 6C,0.63553
6D 6S,0.632105
6D 7H,0.420815
6D 7D,0.45609
6D 7C,0.42191
6D 7S,0.423495
6D 8H,0.43196
6D 8D,0.460795
6D 8C,0.43478
6D 8S,0.433155
6D 9H,0.44574
6D 9D,0.475135
6D 9C,0.444925
6D 9S,0.44395
6D TH,0.45857
6D TD,0.49
6D TC,0.460725
6D TS,0.460545
6D JH,0.4795
6D JD,0.50568
6D JC,0.47872
6D JS,0.478625
6D QH,0.507505
6D QD,0.53565
6D QC,0.508735
6D QS,0.508905
6D KH,0.54233
6D KD,0.56753
6D KC,0.542995
6D KS,0.53979
6D AH,0.574925
6D AD,0.597345
6D AC,0.57766
6D AS,0.57746
6C 2H,0.340965
6C 2D,0.341695
6C 2C,0.377315
6C 2S,0.342205
6C 3H,0.36133
6C 3D,0.3615
6C 3C,0.39545
6C 3S,0.35882
6C 4H,0.378625
6C 4D,0.380085
6C 4C,0.41535
6C 4S,0.38264
6C 5H,0.39892
6C 5D,0.397295
6C 5C,0.43161
6C 5S,0.40171
6C 6H,0.63372
6C 6D,0.632895
6C 6S,0.635135
6C 7H,0.4222
6C 7D,0.42328
6C 7C,0.45162
6C 7S,0.423465
6C 8H,0.4325
6C 8D,0.432085
6C 8C,0.46308
6C 8S,0.431575
6C 9H,0.446165
6C 9D,0.443895
6C 9C,0.47215
6C 9S,0.44511
6C TH,0.458875
6C TD,0.45772
6C TC,0.485245
6C TS,0.461455
6C JH,0.47863
6C JD,0.48129
6C JC,0.50547
6C JS,0.477445
6C QH,0.51139
6C QD,0.51151
6C QC,0.53537
6C QS,0.50894
6C KH,0.542835
6C KD,0.54189
6C KC,0.566305
6C KS,0.54263
6C AH,0.577775
6C AD,0.57789
6C AC,0.59993
6C AS,0.5766
6S 2H,0.34025
6S 2D,0.3393
